"fundCode","fundName","osfaCode"
7557100,"Darby Family/ictory Real Estate Scholarship Fund",316224
7557200,"Sink Family Scholarship Fund",316225
7557300,"Anne M. and David E. Boyd Scholarship Fund",316230
7557400,"Dream Big Scholarship Endowment",316232
7557600,"Wright and Katherine Waddell Scholarship Fund",316236
7557700,"Barry and Suzanne Mansell Family Scholarship Fund",316231
7557900,"Howard E. vester Scholarship Fund",NA
7558000,"SW Scholarship Fund",316235
7558200,"Rosenberry-Donohue Scholarship Fund",316234
7558300,"Steve Jones Georgia Commitment Scholarship Fund",NA
7558400,"Wise Family Scholarship Fund",999999
7558500,"Rousseau Family Scholarship Fund",999999
7558600,"Richard A. Denny  Scholarship Fund",NA
7558700,"Parents Leadership Council Commit to Georgia Scholarship Fund",999999
7558800,"Kate Jeter and Emily Jeter Evans Scholarship Fund",NA
7558900,"William Larry Webb Georgia Commitment Scholarship Fund",NA
7559000,"Paula Heard Gault Family Scholarship Fund",NA
7559200,"Pompa Family Scholarship Fund",NA
7559400,"Jella Family Scholarship",NA
7559500,"Clayton Robson Wilhite Georgia Commitment Scholarship Fund",NA
7559600,"Kimberly LaPorte Scholarship Fund",NA
7559900,"Carol and Mike Marshall Scholarship Fund",NA
7560100,"Georgia Commitment Continuation Scholarship Fund",NA
7560200,"Baker Charitable Scholarship Fund",NA
